minute_index,2018,2019,2020,2021,2022,2023,2024,2025+
80,3.0440952111593367,2.384358607534498,3.65614003016157,2.5138331436180827,5.46400908684519,3.500597975893416,3.263265306121532,3.144341839607101
81,2.8297907066637817,2.1276595744679216,3.8653152379319877,2.5027112705444665,4.7049346815669635,3.332967758190586,2.810041213937575,2.5861093600987317
82,3.2399153542772563,2.0637705087200864,3.322627090485142,2.6615632248017107,4.0165130414904215,2.9533015442578803,2.935796391229095,2.8018591159306716
83,2.7371054996405686,1.6409628225866335,3.0233663024237245,2.2281639928711794,4.314904922131935,2.771529540067652,2.2692109334709887,2.5804786787941847
84,2.738231953147152,2.1201038850904297,2.835951134380066,2.378967426904799,4.001875639899066,2.811331713269416,2.2486564277857113,2.5542376398834943
85,3.1715278696126115,2.334518445896716,3.9117936028532085,2.713925149944174,4.953531085223339,2.872316448837564,2.693965517241992,2.634438699904429
86,3.0154095310397366,1.9500104224690062,3.3548603539368393,2.543158902550413,4.306099706216648,2.8959549042156807,2.343367205639435,2.655525262895697
87,2.9163958141353863,2.1668472372693426,3.3183393555058505,1.9904153843797179,4.524723021868127,2.9339369589703734,2.333949236603683,2.5599333476677977
88,2.750881688911022,2.0989662591164304,3.045066991473888,2.13857998289102,4.279529086546052,2.7301145950830996,2.2996195174973533,2.5587717895425577
89,2.4924037499352014,1.9748210318448756,2.8944607257885835,2.417827447713794,4.200335930264476,2.497048130891688,2.2335370971038326,2.236100241179706
90,3.9211110286729856,2.903447183657537,4.287980789845491,3.1861339450700576,5.8341247304805055,3.4745418069737077,2.8102292344134305,2.9263100624343785
91,3.2819671606310052,2.3140113386566075,4.329707203549749,2.76222283605021,5.486457407679612,3.012337300515311,2.5581984329403618,2.4976688424160898
92,2.751636749356301,2.4183147033518537,3.6667594673689408,2.7050506260861695,4.737092687649991,2.936085000755373,2.61023210986977,2.305057955742651
93,3.3443774902014445,2.3180343069073572,3.7309636061455542,2.234708210955283,4.7312715773950575,2.71606493472909,2.1302495435171487,2.4239290273597724
94,2.949473527170121,1.862853411879195,2.9405038063190503,2.622400545458925,4.355183185464906,2.6700405419710638,2.082422273588236,1.9054878048785362
95,2.8464275460327038,2.0343577231818344,3.4633715037413193,2.726450760599519,5.320322079701567,3.1028384271336584,2.381179159919311,2.4014134033167878
96,2.9105001383961104,1.9550888168917702,3.1908566426475105,2.6675202731551995,5.351799849978578,3.051869926218864,2.6145255569876014,2.767557711718105
97,2.263549435729817,2.026100644899609,2.8838883888393507,2.1388658663734628,4.770236843421594,3.2695137164412413,2.735915733795835,2.6259642212389522
98,2.857176711957843,1.7552071144399939,3.047967386750061,2.167402155828224,4.4275006259514305,2.5364483517359426,2.30590867747571,2.5984140789492294
99,2.8290944272602037,1.8400714999211587,2.706994036092425,2.2123194589296347,4.02584445401144,2.3215542046434168,2.092408935027157,2.140029247066355
100,3.0043751702457655,2.1317416329136307,3.5320725601406533,2.7282650493365423,5.1087289024231985,2.76367823860868,2.6989946245026264,2.5417043929087946
101,2.5514861572045744,1.6781772413343443,3.1684597218584187,2.5509390644429253,4.896048267233333,3.170809498880822,2.065688907249008,2.680215622594684
102,2.955782345317459,1.7713452503120841,3.0819015332450572,2.263738897693157,4.6853639769556255,3.29751877660045,1.9434457292766272,2.3946022847320947
103,2.667629722117315,1.8716077110236817,2.957158170997509,2.32019130808947,4.316859391659822,2.3733130532876956,2.336121104518085,2.090054068790703
104,2.764098658789571,1.6487140030774228,3.0100100411800668,2.064592243031793,3.9168200288586252,2.9185911393875275,2.2734506433863544,2.3604294353707367
105,3.082381040286908,2.1694326933507924,3.9937552191116055,2.524387924240923,5.056205861070362,2.930490912303463,2.110842695312032,2.739240424742828
106,2.626449356011862,2.0251699696227643,3.4125034125043197,2.2621591051907863,4.239631123478249,2.4970601634105583,2.446776988622723,2.39505660317052
107,2.4287170476328113,2.048640580643024,3.4341220912170733,2.173459081435958,3.775751036068087,2.827367698460259,2.0865500980671303,2.21990981616349
108,2.5601551022957914,1.8801031370863086,2.7911758274434817,2.234850903519714,4.345773565476718,2.665779096582277,2.1685674808558097,2.052091554853863
109,2.8687964640844443,1.856911690586438,3.239041243792151,1.9102683290239675,4.004177736038894,2.1243391448072524,1.8182851298376157,2.1745675955964217
110,2.8123130238905114,2.1307196505637727,3.5115107062266837,2.5471938414511897,4.4889974852158065,2.7928143395650196,2.2470619760350807,2.347951633279166
111,2.6023606514780084,1.9849146486716762,3.575125051202832,2.1403570619193957,4.2786334398703385,2.7362215903187215,2.3258165638595507,2.4864957558090595
112,2.6080621769841716,1.864975755314635,2.9112081513815724,2.2173651366852454,4.409573488843854,2.4485339376223436,2.245273698864292,2.04459642373811
